B6:FB:E4:C8:99:44,36,-70,eduroam,0-6
B4:FB:E4:C8:99:44,36,-70,unitn-x,0-6
B4:FB:E4:C8:98:1C,44,-43,unitn-x,0-6
B6:FB:E4:C8:98:1C,44,-43,eduroam,0-6
B4:FB:E4:C8:8F:D3,44,-75,unitn-x,0-6
B6:FB:E4:C8:8F:D3,44,-75,eduroam,0-6
B6:FB:E4:C7:8F:D3,1,-63,eduroam,0-6
B4:FB:E4:C7:AF:41,6,-78,unitn-x,0-6
B6:FB:E4:C7:AF:41,6,-81,eduroam,0-6
B4:FB:E4:C7:9C:6E,11,-88,unitn-x,0-6
B6:FB:E4:C7:9C:6E,11,-89,eduroam,0-6
B6:FB:E4:C8:96:CF,36,-91,eduroam,0-6
B4:FB:E4:C7:8F:D3,1,-60,unitn-x,2-3
B6:FB:E4:C7:99:44,1,-61,eduroam,2-3
B4:FB:E4:C7:98:1C,1,-39,unitn-x,2-3
B4:FB:E4:C7:99:44,1,-52,unitn-x,2-3
B6:FB:E4:C7:98:1C,1,-38,eduroam,2-3
B4:FB:E4:C7:96:CF,11,-76,unitn-x,2-3
B6:FB:E4:C7:96:CF,11,-76,eduroam,2-3
B6:FB:E4:C8:99:44,36,-60,eduroam,2-3
B4:FB:E4:C8:99:44,36,-77,unitn-x,2-3
B4:FB:E4:C8:98:1C,44,-38,unitn-x,2-3
B6:FB:E4:C8:98:1C,44,-38,eduroam,2-3
B4:FB:E4:C8:8F:D3,44,-73,unitn-x,2-3
B6:FB:E4:C8:8F:D3,44,-71,eduroam,2-3
B6:FB:E4:C7:8F:D3,1,-63,eduroam,2-3
B4:FB:E4:C7:AF:41,6,-78,unitn-x,2-3
B6:FB:E4:C7:AF:41,6,-77,eduroam,2-3
B4:FB:E4:C7:9C:6E,11,-78,unitn-x,2-3
B6:FB:E4:C8:96:CF,36,-89,eduroam,2-3
B6:FB:E4:C7:9E:BA,6,-86,eduroam,2-3
B6:FB:E4:C7:9C:6E,11,-78,eduroam,2-3
B6:FB:E4:C7:95:73,11,-80,eduroam,2-3
B4:FB:E4:C7:8F:D3,1,-58,unitn-x,2-1
B6:FB:E4:C7:99:44,1,-58,eduroam,2-1
B4:FB:E4:C7:98:1C,1,-52,unitn-x,2-1
B4:FB:E4:C7:99:44,1,-59,unitn-x,2-1
B6:FB:E4:C7:98:1C,1,-41,eduroam,2-1
B6:FB:E4:C7:96:CF,11,-76,eduroam,2-1
B6:FB:E4:C8:99:44,36,-70,eduroam,2-1
B4:FB:E4:C8:99:44,36,-70,unitn-x,2-1
B4:FB:E4:C8:98:1C,44,-41,unitn-x,2-1
B6:FB:E4:C8:98:1C,44,-41,eduroam,2-1
B4:FB:E4:C8:8F:D3,44,-80,unitn-x,2-1
B6:FB:E4:C8:8F:D3,44,-80,eduroam,2-1
B6:FB:E4:C7:8F:D3,1,-59,eduroam,2-1
B4:FB:E4:C7:AF:41,6,-77,unitn-x,2-1
B6:FB:E4:C7:AF:41,6,-77,eduroam,2-1
B4:FB:E4:C7:9C:6E,11,-82,unitn-x,2-1
B6:FB:E4:C8:96:CF,36,-89,eduroam,2-1
